TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
DISTRIBUIDOR COMERCIALIZADOR DE GAS,EPM,EMPRESAS PUBLICAS DE MEDELLIN ESP,ACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO ZACATECAS,DOING COMPANY S.A.,ACTIVO,CASANARE,YOPAL,85001,5.3271021843,-72.3961334229
ESTACION DE SERVICIO DE GNCV,EDS SANTA RITA,GASES Y COMBUSTIBLES DEL CARIBE LTDA,INACTIVO,BOLIVAR,MAGANGUE,13430,9.2637987137,-74.7667388916
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GASPETROIL S.A,GASPETROIL S.A,INACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
ESTACION DE SERVICIO DE GNCV,GNC BOSTON,MASSER S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO DISTRACOM LA 16,DISTRACOM S.A.,ACTIVO,VALLE DEL CAUCA,YUMBO,76892,3.5400969982,-76.4998931885
TALLER DE CONVERSION,FLORES INMORTALES ETERNA PRIMAVERA S.A.S.,FLORES INMORTALES ETERNA PRIMAVERA S.A.S.,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
TALLER DE CONVERSION,WILSON ALEXANDER SORA PALACIOS,WILSON ALEXANDER SORA PALACIOS,INACTIVO,CUNDINAMARCA,SOACHA,25754,4.5792679787,-74.215461731
LABORATORIO DE PRUEBAS HIDROSTATICAS,HIDROPROB S.A,HIDROPROB S A,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,EDS CARIBE GNV 1,MASSER S.A.S.,ACTIVO,BOLIVAR,CARTAGENA DE INDIAS,13001,10.3851261139,-75.4962692261
